"filename", "language", "JavaScript", "JSON", "Groovy", "Properties", "XML", "Batch", "comment", "blank", "total"
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\App.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 5, 114
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\Style.js", "JavaScript", 689, 0, 0, 0, 0, 0, 2, 10, 701
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\build.gradle", "Groovy", 0, 0, 86, 0, 0, 0, 67, 24, 177
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 37, 0, 0, 0, 37
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 11, 0, 23, 3, 37
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\src\main\res\drawable\splashscreen.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\src\main\res\values-night\colors.xml", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\build.gradle", "Groovy", 0, 0, 34, 0, 0, 0, 5, 5, 44
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\gradle.properties", "Properties", 0, 0, 0, 11, 0, 0, 33, 13, 57
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 41, 29, 22, 92
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\android\settings.gradle", "Groovy", 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\app.json", "JSON", 0, 77, 0, 0, 0, 0, 0, 1, 78
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\assets\icons\icon-loading.svg", "XML", 0, 0, 0, 0, 52, 0, 0, 0, 52
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\babel.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\eas.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\package-lock.json", "JSON", 0, 14553, 0, 0, 0, 0, 0, 1, 14554
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\package.json", "JSON", 0, 59, 0, 0, 0, 0, 0, 1, 60
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\react-native.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 0, 7
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\ImageIndex.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\Models.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 6, 114
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\Utils.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 5, 8
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\Abonos.js", "JavaScript", 390, 0, 0, 0, 0, 0, 4, 15, 409
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\Acuerdo.js", "JavaScript", 353, 0, 0, 0, 0, 0, 0, 7, 360
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\Camera.js", "JavaScript", 240, 0, 0, 0, 0, 0, 1, 11, 252
"c:\MiLanitaExpress\mi_lanita_app_react\AwesomeProject\src\forms\ConsultaAcuerdos.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 5, 140
